?,mouth,hau2
?,cat,maau1
?,dog,gau2
?,eye,ngaan5
?,book; letter; document; writings,syu1
?,eat; meal; food,sik6
?,drink; swallow; kind of drink,yam2 yam3
?,left; east; unorthodox; improper,jo2
?,right; west; right-wing,yau6
?,top; superior; highest; go up; send up,seung5 seung6
?,under; underneath; below; down; inferior; bring down,ha6 ha5
?,sun; day; daytime,yat6
?,moon; month,yut6
?,gate; door; entrance; opening,mun4
?,big; great; vast; large; high,daai6
?,fire; flame; burn; anger; rage,fo2
?,go out; send out; stand; produce,cheut1
?,field; arable land; cultivated,tin4
?,toward; direction; trend,heung3
?,earth; soil; ground; region; place; adjunct used to form adverbial phrase,dei6
?,scholar;gentleman; soldier,si6
?,use; employ; apply; operate; use,yung6
?,ask (about); inquire after,man6
?,cart; vehicle; carry in cart,che1 geui1
?,sky; heaven; god; celestial,tin1
?,cow; ox; bull,ngau4
?,male; man; son; baron; surname,naam4
?,power; capability; influence,lik6
?,enter; come in(to); join,yap6
?,only; just; simply,ji2
?,official; serve government,si6
?,man; person; people; mankind; someone else,yan4
?,bright; light; brilliant; clear,ming4
?,central; center; middle; in the midst of; hit (target); attain,jung1 jung3
?,interval; space; place; between,gaan1
?,small; tiny; insignificant,siu2
?,foot; attain; satisfy; enough,juk1
?,mountain; hill; peak,saan1
?,woman; girl; feminine,neui5
?,inside; interior; domestic,noi6
?,same; similar; together with,tung4
?,one,yat
?,nose; first,bei6
?,foot; base; leg; foundation,geuk3
?,wife,chai1
?,man; male; adult; husband; those,fu1
?,now; today; modern era,gam1
?,two; twice,yi6
