\u53E3,mouth,hau2
\u8C93,cat,maau1
\u72D7,dog,gau2
\u773C,eye,ngaan5
\u66F8,book; letter; document; writings,syu1
\u98DF,eat; meal; food,sik6
\u98F2,drink,yam2
\u5DE6,left; east; unorthodox; improper,jo2
\u53F3,right; west; right-wing,yau6
\u4E0A,go up; top; superior; highest; send up,seung5
\u4E0B,go down; under; underneath; below; down; inferior; bring down,ha6
\u65E5,sun; day; daytime,yat6
\u6708,moon; month,yut6
\u9580,door; gate; entrance; opening,mun4
\u5927,big; great; vast; large; high,daai6
\u706B,fire; flame; burn; anger; rage,fo2
\u51FA,go out; send out; stand; produce,cheut1
\u7530,field; arable land; cultivated,tin4
\u5411,toward; direction; trend,heung3
\u5730,ground; earth; soil; region; place; adjunct used to form adverbial phrase,dei6
\u58EB,soldier;scholar;gentleman,si6
\u7528,use; employ; apply; operate,yung6
\u554F,ask (about); inquire after,man6
\u8ECA,vehicle; cart; carry in cart,che1 geui1
\u5929,sky; heaven; god; celestial,tin1
\u725B,cow; ox; bull,ngau4
\u7537,male; man; son; baron; surname,naam4
\u529B,power; strength; capability; influence,lik6
\u5165,enter; come in(to); join,yap6
\u53EA,only; just; simply,ji2
\u4ED5,official; serve government,si6
\u4EBA,man; person; people; mankind; someone else,yan4
\u660E,bright; light; brilliant; clear,ming4
\u4E2D,central; center; middle; in the midst of; hit (target); attain,jung1
\u9593,between; interval; space; place,gaan1
\u5C0F,small; tiny; insignificant,siu2
\u8DB3,foot; attain; satisfy; enough,juk1
\u5C71,mountain; hill; peak,saan1
\u5973,woman; girl; feminine,neui5
\u5167,inside; interior; domestic,noi6
\u540C,same; similar; together with,tung4
\u4E00,one,yat
\u51FA;\u53E3,exit,cheut1 hau2
\u4E09,three,sam1
\u56DB,four,sei3
\u4E94,five; surname,ng5	
\u516D,six,luk6	
\u4E03,seven,chat1	
\u516B,eight; all around; all sides,baat3
\u4E5D,nine,gau2	
\u5341,ten; tenth; complete; perfect,sap6	
